name,latitude,longitude,description,info,type,status
Smith-Carter,-1.128448,-47.618979,Middle wonder friend card contain. Couple sport recognize check both option. Stay president state response.,"{""address"": ""Unit 0715 Box 4828\nDPO AP 15848"", ""website"": ""https://www.everett.com/""}",ROOFTOP_BAR,ACTIVE
Perez Ltd,-1.344167,-47.576944,Stage since indeed particularly lot. Those quite form physical music line. Start especially Congress event stage.,"{""address"": ""58051 Mendoza Ferry\nNorth Wendyton, KY 79472"", ""website"": ""https://nelson-craig.com/""}",PUB,ACTIVE
"Black, White and Holden",-1.293645,-47.930283,Economic condition run benefit Republican low serve. Represent seem establish begin never top watch.,"{""address"": ""10484 Ramirez Knoll Apt. 194\nWest Amanda, GA 87392"", ""website"": ""http://allen.info/""}",FOOD_TRUCK,ACTIVE
Lozano-Hendricks,-1.726953,-45.142788,Bar your national hit. All able result husband. Piece spring mother level radio recent gun.,"{""address"": ""83080 Perry Pines\nWest Christopherstad, AZ 52427"", ""website"": ""https://jackson.com/""}",FOOD_TRUCK,ACTIVE
"Owens, Lane and Martinez",-1.066352,-46.76424,After eat continue bar table. Wish participant strategy chair free member pay. Adult describe law prepare mention mission.,"{""address"": ""USNS Hansen\nFPO AE 99788"", ""website"": ""https://herrera-haas.com/""}",CAFE,ACTIVE
"Wells, Butler and Carlson",-1.194844,-47.186714,Night speak marriage under. Tv feel watch affect.,"{""address"": ""54823 Thomas Lakes\nNew John, OR 01578"", ""website"": ""https://www.white.com/""}",BREWERY,ACTIVE
Howard-Martinez,-1.531397,-46.892469,Free entire next exactly. Democratic account teacher fast according after beyond set. Imagine perhaps service business line campaign.,"{""address"": ""31401 Thomas Underpass\nEast Charles, TN 59330"", ""website"": ""https://www.mitchell.com/""}",CAFE,ACTIVE
"Ashley, Sullivan and Pineda",-1.803132,-46.320892,Old debate new available. Brother anyone build act spring each blood.,"{""address"": ""737 Warren Vista Apt. 064\nBoydfort, PW 02853"", ""website"": ""http://gardner.com/""}",WINERY,ACTIVE
"Chavez, Henderson and Randall",-1.849856,-45.110703,Top town religious find step myself. Pattern four street store.,"{""address"": ""422 Johnny Track Apt. 931\nNorth Susanhaven, ND 98973"", ""website"": ""https://www.shaw.info/""}",BREWERY,ACTIVE
Torres-Williams,-2.237605,-45.302119,Control lawyer artist exactly huge. Choose budget doctor project. Score raise wind feeling front when.,"{""address"": ""0929 Jamie Avenue Apt. 224\nEast Roberthaven, TX 10318"", ""website"": ""http://www.schmidt.com/""}",LOUNGE,ACTIVE
"Jones, Powell and Flores",-2.521325,-45.08205,Performance offer part father during choice. Expert language camera office party responsibility ground. Rule under fly this speech rather network.,"{""address"": ""9578 Smith Cliff\nLake Tammy, AZ 59483"", ""website"": ""https://haynes.com/""}",CAFE,ACTIVE
Solomon-Cook,-2.54375,-45.77314,Record interest doctor raise. Perform Mrs she avoid citizen.,"{""address"": ""64469 Gomez Island Suite 587\nNew Frank, GU 35530"", ""website"": ""http://www.lewis.com/""}",LOUNGE,ACTIVE
Lyons and Sons,-3.10464,-45.030703,American challenge role ten serve quite practice. On order by before. Better everybody industry hotel act church.,"{""address"": ""10131 Tanya Causeway Apt. 357\nSouth Timothyborough, PW 47772"", ""website"": ""http://www.barrett.com/""}",SPORTS_BAR,ACTIVE
Blair Inc,-3.268266,-45.653842,Score single race type international. Hotel gun leg beyond. Evening hospital series she then certainly.,"{""address"": ""857 Mendoza Mountain Suite 968\nRussellport, MI 41188"", ""website"": ""http://hamilton-kemp.com/""}",COCKTAIL_BAR,ACTIVE
Lewis-Powell,-2.997176,-47.354244,During entire listen especially role. Sense statement painting figure his experience bring.,"{""address"": ""Unit 5281 Box 5268\nDPO AA 87362"", ""website"": ""https://robertson-maynard.com/""}",COCKTAIL_BAR,ACTIVE
King LLC,-2.55889094355513,-47.497411519289,Weight message draw building traditional no lead ready. Network matter themselves consider effort.,"{""address"": ""Unit 8344 Box 1548\nDPO AP 30375"", ""website"": ""http://tran.com/""}",WINERY,ACTIVE
"Hicks, Cohen and Thompson",-2.39215702298265,-47.5394135713577,Likely seat I own wrong. Clearly include spend scene.,"{""address"": ""99685 Macdonald Track\nAllenshire, PA 73508"", ""website"": ""https://www.chan-wilson.com/""}",COCKTAIL_BAR,ACTIVE
"Yang, Pace and Boyd",-2.051651,-47.552613,Group air read none chair mind. Follow area name local. Beyond year air name policy.,"{""address"": ""942 Andrew Point Suite 741\nNorth Julie, MS 36296"", ""website"": ""https://le.com/""}",CAFE,ACTIVE
Vaughn-Ruiz,-2.131222,-47.560444,Example field enter either. Into lose eye establish. Everybody above me.,"{""address"": ""5817 Thomas Port\nWest Elizabethport, RI 39457"", ""website"": ""http://www.barry.com/""}",PUB,ACTIVE
"Reed, Johnson and Mitchell",-2.46875631120421,-48.718957901001,Agency ability environment raise. Manage gun strategy.,"{""address"": ""5140 Allison Cliffs\nNorth Deborah, AS 62295"", ""website"": ""https://taylor.com/""}",NIGHTCLUB,ACTIVE
"Willis, Parker and Hawkins",-1.882297,-48.757671,Help hot amount exist education industry drop. Bill play artist drop range actually story. Point have share term research throw reduce.,"{""address"": ""1018 Thomas Course Suite 335\nJosephmouth, MP 22735"", ""website"": ""http://www.young-smith.com/""}",FOOD_TRUCK,ACTIVE
Sims and Sons,-2.946111,-48.957195,After take behind. Until develop remember.,"{""address"": ""PSC 0392, Box 4354\nAPO AA 37519"", ""website"": ""https://www.smith-clark.com/""}",WINERY,ACTIVE
"Smith, Jones and Mason",-3.757174,-49.653126,That herself apply nor build. Current field whether mean it break yard. Oil walk car onto. Serious interesting society chance.,"{""address"": ""719 Jennifer Course Apt. 313\nRobertside, WI 27553"", ""website"": ""https://bailey.info/""}",FOOD_TRUCK,ACTIVE
"Brown, Garcia and Schneider",-3.753607,-49.665676,Human value science buy would. Price floor good second strong half sometimes. Race price eight music one.,"{""address"": ""PSC 6587, Box 5685\nAPO AA 18883"", ""website"": ""http://shepard-walls.info/""}",RESTAURANT,ACTIVE
Marshall Inc,-3.779167,-49.568359,Personal space six radio also. Scene street onto receive nor. Police continue benefit put loss final network wait.,"{""address"": ""40065 Kim Shore\nNorth Sharon, CA 37849"", ""website"": ""http://www.aguirre.com/""}",CAFE,ACTIVE
Phillips-Murillo,-3.834883,-49.099407,Begin evidence report door. Eat voice discover strong rather create. Interest long indeed behind.,"{""address"": ""48441 Tamara Glens Suite 371\nSouth Michaelton, TX 76091"", ""website"": ""http://sparks-johnson.com/""}",FOOD_TRUCK,ACTIVE
"James, Stevenson and Robinson",-4.446997,-49.114716,Employee paper must range. Whatever job difficult expect early campaign.,"{""address"": ""678 Brian Isle\nRichardmouth, PR 67736"", ""website"": ""http://spears-robinson.com/""}",SPORTS_BAR,ACTIVE
"Martin, Waters and Khan",-5.74350189676108,-49.9364876747131,Figure message kid him up international some. Get administration form. Live future tree series if represent anyone.,"{""address"": ""511 Mendez Fords\nNew Robert, MS 36496"", ""website"": ""https://thompson-ballard.com/""}",FOOD_TRUCK,ACTIVE
"Ramirez, Benton and Hartman",-5.487114,-48.742093,Concern avoid company daughter scene. Nation event opportunity drug policy son lead can.,"{""address"": ""582 Laura Court\nFriedmanchester, IA 74188"", ""website"": ""https://baker-williams.biz/""}",COCKTAIL_BAR,ACTIVE
Wise-Lowe,-5.348376,-49.082098,Born method place anyone.,"{""address"": ""299 Pacheco Mills Apt. 772\nNorth Shawnburgh, UT 72663"", ""website"": ""https://www.quinn.com/""}",ROOFTOP_BAR,ACTIVE
Castaneda PLC,-4.858706,-49.053062,Outside whole hundred large. Word American speak. Wonder nearly professional news the officer education.,"{""address"": ""897 Reed Ridges\nLopezshire, DE 57897"", ""website"": ""http://johnson.info/""}",WINERY,ACTIVE
Castro-Rivera,-5.04289,-48.605312,Wonder kid analysis impact this. Glass town few address provide series some. Sell especially maybe happen together too respond within.,"{""address"": ""6053 James Squares Suite 274\nSouth Dillon, VI 56369"", ""website"": ""https://carter.biz/""}",BAR,ACTIVE
"Ortiz, Clark and Rodriguez",-5.684017,-48.378087,Factor cut agent those father perhaps study. Middle speech a strategy send.,"{""address"": ""69466 Boyer Course Suite 633\nBrownfurt, OR 71479"", ""website"": ""http://turner-barron.org/""}",LOUNGE,ACTIVE
"Stephenson, Miller and Knight",-5.648381,-48.119312,Body relationship land draw task street. Ok value official class dinner relationship event trouble. Force finally positive.,"{""address"": ""6939 Whitaker Ranch Suite 782\nPort Andrewville, IA 67563"", ""website"": ""http://hale.com/""}",RESTAURANT,ACTIVE
Vaughn Ltd,-5.469574,-47.8873,Hold body now people. Least people quality example heart.,"{""address"": ""USS King\nFPO AE 47050"", ""website"": ""https://patel-dean.com/""}",NIGHTCLUB,ACTIVE
Knight-Martinez,-5.61452,-47.768826,Music season none. Full position understand short. Protect wide way identify fine professor sing.,"{""address"": ""PSC 6696, Box 6149\nAPO AE 56346"", ""website"": ""https://fisher.org/""}",WINERY,ACTIVE
Nguyen-Cooper,-5.603321,-47.640101,Appear else along stand rock. Right energy poor present I of best.,"{""address"": ""USS Baker\nFPO AP 68835"", ""website"": ""https://www.wade.biz/""}",SPORTS_BAR,ACTIVE
Price-Johnson,-5.554957,-47.578242,Guess too exactly worry himself. Record offer government skin skill.,"{""address"": ""58919 Jennifer Square Suite 038\nWest Travisberg, MI 75955"", ""website"": ""http://stanley.com/""}",LOUNGE,ACTIVE
Robles and Sons,-5.51908763022022,-47.4907864630222,Real science hundred may camera issue. Force life front these land phone statement. Food six sit agent value. Art when laugh particular.,"{""address"": ""PSC 9895, Box 2715\nAPO AE 25681"", ""website"": ""http://www.ferrell.org/""}",PUB,ACTIVE
Elliott-Dickerson,-5.51517572969883,-47.4510622769594,Image seek case cost adult here.,"{""address"": ""5067 James Field\nPerezton, WV 18426"", ""website"": ""http://little-moreno.com/""}",NIGHTCLUB,ACTIVE
"Huff, Nash and Bruce",-4.7865,-48.062057,Crime get little later reflect employee degree. Decade whether perform gas manage let sport camera. Federal get hot attack fast.,"{""address"": ""40532 Wells Parks Suite 369\nTylerport, NE 39907"", ""website"": ""https://jacobs.com/""}",ROOFTOP_BAR,ACTIVE
Ross-Hicks,-4.937604,-47.494441,Including lay plant get experience. Smile grow better ago.,"{""address"": ""053 Brown Ford Suite 230\nNorth Brandi, IA 23543"", ""website"": ""http://singleton-smith.com/""}",BREWERY,ACTIVE
Holmes LLC,-4.27812833737676,-47.5569592416287,Tough wear physical lot. Same alone him itself pretty speak matter truth. Whole participant couple the eye material fund.,"{""address"": ""7294 Bob Village\nJamesfurt, AS 86218"", ""website"": ""https://www.harvey.com/""}",CAFE,ACTIVE
Ortiz-Johnson,-3.74031,-47.494038,Than establish official which public knowledge low. Firm structure car growth study recognize player. Question home home hard between paper her law.,"{""address"": ""215 Ronald Island Apt. 245\nNorth Kaylamouth, MS 13295"", ""website"": ""http://wilcox-brown.com/""}",COCKTAIL_BAR,ACTIVE
Campbell-Wilson,-4.219806,-46.493313,Step side enter increase. Listen personal entire reach want. It operation environmental sign really sometimes.,"{""address"": ""87779 Andrew Centers\nRichardberg, CO 50168"", ""website"": ""http://www.montgomery.info/""}",FOOD_TRUCK,ACTIVE
"Carter, Nelson and Thomas",-3.67021809014409,-45.8434588462114,Person such effect little just. Culture later foot need book knowledge. List old boy can nice establish.,"{""address"": ""54475 Andrews Street\nGregoryland, MS 03805"", ""website"": ""http://www.walton.com/""}",PUB,ACTIVE
"Robinson, Fowler and Allen",-3.674318,-45.355578,Owner attorney myself beyond if for. Detail write when TV painting. Note structure less coach use tell.,"{""address"": ""PSC 2731, Box 8654\nAPO AA 86143"", ""website"": ""https://kerr.com/""}",ROOFTOP_BAR,ACTIVE
"Juarez, Perkins and Brady",-4.13717968488481,-45.1116751134396,Value voice medical play great tell involve.,"{""address"": ""6571 Tracy Drive\nEast Erinchester, NV 03416"", ""website"": ""https://cooper-smith.com/""}",CAFE,ACTIVE
Ellis LLC,-4.2880144303838,-45.2462532743812,Most available action approach operation executive sing. Hand community benefit baby.,"{""address"": ""Unit 2853 Box 6116\nDPO AE 20249"", ""website"": ""https://owens.com/""}",CAFE,ACTIVE
Rivas Inc,-4.5647382832643,-45.1302427053452,Reflect six century project however less late. Subject room argue message seat special vote attack. Piece side capital save fast dream.,"{""address"": ""6391 Samuel Ports Suite 110\nEast Amyberg, FL 04362"", ""website"": ""http://www.johnson.com/""}",SPORTS_BAR,ACTIVE
Williams-Martinez,-5.104452,-45.090008,Manage Mrs local decision. Per race bring yourself pick character myself know. Anyone sure meet fly once significant.,"{""address"": ""975 Melissa Falls\nLynchfort, IN 22134"", ""website"": ""http://baker.com/""}",CAFE,ACTIVE
"Jones, Thompson and Davis",-5.499452,-45.264815,Allow foot should hot. Your member more four party dinner model.,"{""address"": ""0556 Lorraine Fort\nCindyport, PA 12696"", ""website"": ""http://mckee-miller.com/""}",WINERY,ACTIVE
Brown-Rhodes,-5.155187,-45.792023,Happen activity company door avoid against.,"{""address"": ""649 Taylor Estate Suite 523\nPort Josechester, NM 30805"", ""website"": ""http://freeman.com/""}",NIGHTCLUB,ACTIVE
"Moore, Edwards and Farmer",-6.345227,-47.37611,Mean thought throughout room whether. Hold red life former all drug.,"{""address"": ""4910 Susan Junction\nJohnmouth, IL 40508"", ""website"": ""http://www.morris.net/""}",PUB,ACTIVE
Sawyer Group,-6.556821,-47.440929,While win wonder. Push third executive college west suddenly others stock.,"{""address"": ""0467 Jenny Loaf\nNorth Alexanderburgh, WI 31711"", ""website"": ""https://adams-henderson.net/""}",FOOD_TRUCK,ACTIVE
Mills-Stewart,-6.558538,-47.447214,Which too method parent win. Official sell late push identify arm like by.,"{""address"": ""69930 Scott Corner\nLake Connie, DE 08660"", ""website"": ""https://www.vargas-jones.com/""}",RESTAURANT,ACTIVE
"Jackson, Bender and Mcpherson",-5.812675,-46.154612,Despite agent break just. Tonight professor world evening future investment candidate. Run nature share card.,"{""address"": ""022 Jensen Estates\nLake Sandraport, CA 45901"", ""website"": ""http://snow.com/""}",WINERY,ACTIVE
Adams PLC,-7.019694,-45.47673,How number lot commercial. Pass thank real difference wall. Course particular seat set for age dark find.,"{""address"": ""93337 Jones Bridge\nEast Eric, MP 02267"", ""website"": ""http://lawrence.com/""}",BAR,ACTIVE
Stewart-James,-7.516521,-46.046442,Support race produce doctor either prevent ok. Throw factor together similar wait through civil.,"{""address"": ""681 Jasmine Lodge Suite 848\nPamelastad, HI 82869"", ""website"": ""https://www.mccann-donaldson.info/""}",LOUNGE,ACTIVE
Aguilar-Figueroa,-7.97147251285957,-48.4551376212433,Billion result mouth mention say practice. Security less pull. What around weight available end put.,"{""address"": ""726 Jones Terrace\nPort Amber, AS 43190"", ""website"": ""https://www.spencer.com/""}",WINERY,ACTIVE
"Weaver, Smith and White",-7.628726,-48.426044,Movement thousand own TV tough note have popular. Scene site voice process. Thank you stuff oil hand political. Land continue conference writer.,"{""address"": ""61666 Susan Circles\nJonathonberg, WV 48778"", ""website"": ""http://parsons.info/""}",CAFE,ACTIVE
Hunter-Carpenter,-7.161583,-48.202604,Gas popular Mrs month. Receive require computer policy.,"{""address"": ""05687 Ward Rapids Suite 018\nPerezton, AR 31543"", ""website"": ""http://hess.com/""}",BAR,ACTIVE
Johnson-Jacobson,-6.848282,-47.965385,Thing great player write certainly. Call street learn suddenly goal range. Author much nation guess per cold from.,"{""address"": ""9982 Owens Lake Suite 485\nCummingsville, RI 98633"", ""website"": ""https://williams-navarro.com/""}",PUB,ACTIVE
Ingram LLC,-6.106306,-49.379276,Structure high he experience. Behind day according answer price middle including. Bank money various than throw break.,"{""address"": ""699 Mark Ford Suite 391\nParkerhaven, AK 60313"", ""website"": ""http://mcintyre.com/""}",ROOFTOP_BAR,ACTIVE
Holt-Barker,-6.09754391365117,-49.5989920198918,Dream ten board process human ready. Offer partner sing or policy glass magazine consumer.,"{""address"": ""643 Miller Branch Suite 032\nToddshire, SC 87103"", ""website"": ""https://www.smith-mccarthy.com/""}",WINERY,ACTIVE
"Lindsey, Anderson and Blackburn",-6.07522170519482,-49.8672276735306,Body marriage whose couple moment citizen know.,"{""address"": ""7830 Martinez Station\nLivingstontown, NV 17385"", ""website"": ""https://acosta-roy.com/""}",CAFE,ACTIVE
"Roberts, Walton and Miller",-6.066439,-49.895977,Field final expect building hot value whatever. Too form best purpose. Science benefit discussion more director.,"{""address"": ""8474 Melanie Junction Suite 460\nPort Andreland, KY 41237"", ""website"": ""https://www.mitchell.info/""}",PUB,ACTIVE
"Bennett, Patton and Jefferson",-6.528987,-49.856355,Far who rule wear deal. Consider change defense. Under while likely week analysis career treatment.,"{""address"": ""583 Katherine Squares Suite 991\nNorth Rebeccamouth, DC 87713"", ""website"": ""http://jordan-moore.com/""}",PUB,ACTIVE
Dean Ltd,-6.53581559619685,-49.4029386341572,Build south identify control but represent then Mr. Wind watch new.,"{""address"": ""219 Maria Lodge Suite 267\nNew Tonyberg, AK 63936"", ""website"": ""https://foley.com/""}",WINERY,ACTIVE
Brown Group,-6.9433509091508,-49.7016522288323,Beautiful increase decide meet. Point bag figure where. Accept respond discuss history look population Mrs.,"{""address"": ""455 Angela Ford\nNew Robertbury, DC 53214"", ""website"": ""http://www.frazier.com/""}",ROOFTOP_BAR,ACTIVE
Tucker PLC,-7.115133,-49.943893,Drug all base reflect analysis. Garden relationship first natural project the world.,"{""address"": ""366 Fleming Hill\nSouth Andrea, ME 14337"", ""website"": ""http://allen.com/""}",NIGHTCLUB,ACTIVE
"Cruz, Campbell and Goodwin",-6.7067462294114,-50.1347820460796,Take specific memory how stay less statement. Fine high suggest. Weight who production matter expert general.,"{""address"": ""9103 Green Fort Suite 934\nEast Zachary, WI 48545"", ""website"": ""https://www.smith.org/""}",BREWERY,ACTIVE
"Howe, Irwin and Scott",-10.170984,-48.883369,Stay man answer ahead pretty anything lead. Religious customer seven mind door. Color own some technology industry. Or explain herself mouth.,"{""address"": ""945 Wall Brook\nLake Carlaville, GU 39626"", ""website"": ""https://campbell.com/""}",PUB,ACTIVE
Collins Ltd,-9.54259028868857,-48.5209695832822,Up general quickly plan model. Security role national with call suffer.,"{""address"": ""24362 Mercer Heights\nPort Dianastad, SC 70981"", ""website"": ""https://suarez.com/""}",SPORTS_BAR,ACTIVE
Garcia Inc,-9.534601,-48.594124,Act treat safe pass property wall her. Owner hit decade will become imagine study.,"{""address"": ""PSC 2654, Box 5142\nAPO AP 44174"", ""website"": ""https://king-miller.info/""}",COCKTAIL_BAR,ACTIVE
Morrison-Jackson,-10.182406,-48.324348,Pattern drop interest wonder difference kid. Claim risk song skill.,"{""address"": ""750 Lewis Knolls Apt. 825\nEast Anthony, DC 57952"", ""website"": ""http://choi.info/""}",SPORTS_BAR,ACTIVE
Sanders-Lowe,-10.1770966793516,-48.2937005012491,And would once section sense. Smile floor under once.,"{""address"": ""99902 Hicks Extensions\nNorth Dean, MH 86950"", ""website"": ""http://www.ayers.com/""}",WINERY,ACTIVE
Russell-Hunter,-9.74657234522502,-48.3671995997429,Environmental station by interesting Congress power break. Because impact prepare choice senior stand despite.,"{""address"": ""51225 Daniel Fields Suite 492\nNorth Larry, IL 49388"", ""website"": ""http://www.sullivan.com/""}",FOOD_TRUCK,ACTIVE
Nicholson-Reese,-8.845687,-48.507535,Foreign explain small clearly. Large door pick direction claim enjoy heavy. Song who employee provide beyond far there cut.,"{""address"": ""28682 Mark Summit Suite 274\nNorth Ronnie, HI 82841"", ""website"": ""http://www.jackson-meyer.net/""}",COCKTAIL_BAR,ACTIVE
"Roberts, Valentine and Blackwell",-8.846249,-48.509323,Thought Mrs oil someone manage box move over. Once area without instead whole school return. Field this source certainly.,"{""address"": ""6721 Richard Plains\nCoreyland, SD 67851"", ""website"": ""http://www.higgins-tucker.com/""}",BREWERY,ACTIVE
Farrell Inc,-8.055505,-48.480244,Across prove likely thank difficult beautiful factor catch. Other school manager wide situation case. Computer floor near successful parent first.,"{""address"": ""5614 Amy Route\nJenniferhaven, MP 22437"", ""website"": ""http://www.curtis.com/""}",LOUNGE,ACTIVE
Acosta-Lawrence,-9.83391407668678,-45.3438068507239,Blood drug hand summer. Thing six understand. He authority doctor.,"{""address"": ""88116 Fernandez Crossing Apt. 271\nNorth Kevinville, SC 86438"", ""website"": ""https://www.castro.com/""}",BAR,ACTIVE
Jones-Johnson,-10.445272,-45.137505,Score range building indicate around. Cold often activity analysis team concern.,"{""address"": ""76214 Smith Crescent Suite 663\nSmithmouth, VI 92834"", ""website"": ""http://ellis.com/""}",RESTAURANT,ACTIVE
Mann-Osborne,-10.4416112291497,-45.1639299094677,There class particularly if want somebody imagine. Character red example face beautiful chair blood. Cold capital either.,"{""address"": ""USS Shepard\nFPO AA 55945"", ""website"": ""http://www.lester.biz/""}",LOUNGE,ACTIVE
Harris Group,-11.0452185782727,-45.1878203451634,Himself ground general part read sit draw. Bill sense dream investment report hold.,"{""address"": ""981 Juan Place\nLake Kevinfurt, SC 18256"", ""website"": ""http://www.house.net/""}",ROOFTOP_BAR,ACTIVE
"Miller, Crane and Herring",-10.705891,-48.410361,Alone decision piece wall be cut environment. Born person into seven. Meet mission information very environmental attack.,"{""address"": ""Unit 8582 Box 6949\nDPO AA 65990"", ""website"": ""https://www.adams-dodson.org/""}",BAR,ACTIVE
Mcbride PLC,-11.306719,-48.937962,Its learn figure save. Set best already question.,"{""address"": ""Unit 2632 Box 9040\nDPO AP 44891"", ""website"": ""http://mcknight.info/""}",SPORTS_BAR,ACTIVE
Gutierrez-Valdez,-10.754961664354,-48.9016565680504,Note finally but him matter beyond week. Mention hit take blood positive series myself.,"{""address"": ""0465 Johnson Ramp\nStevenfurt, PR 82680"", ""website"": ""http://www.price.info/""}",PUB,ACTIVE
Williams Inc,-11.735739,-49.078033,Risk east maybe.,"{""address"": ""3805 Ramirez Center Suite 940\nChristineshire, IL 40721"", ""website"": ""https://roman.com/""}",CAFE,ACTIVE
Jackson Ltd,-11.7366058960839,-49.0119652181009,Respond bad road leave. Fight magazine great truth. Radio example value range expert project partner military.,"{""address"": ""36681 Silva Mount\nEast Davidfurt, MH 41811"", ""website"": ""https://www.foster.com/""}",COCKTAIL_BAR,ACTIVE
Holmes LLC,-12.4822316531911,-49.1205167770386,Pressure official edge rich. Throughout threat executive add week wonder.,"{""address"": ""USCGC Cole\nFPO AA 69791"", ""website"": ""http://www.bentley-valenzuela.biz/""}",ROOFTOP_BAR,ACTIVE
Anderson-Morales,-13.4458611867572,-49.13611865024,Seat against require state night hear. Identify end for deal line.,"{""address"": ""369 Kent View Apt. 061\nNew Katherineshire, PW 04263"", ""website"": ""https://www.stafford-orr.com/""}",BREWERY,ACTIVE
"Walker, Franklin and Oneal",-14.5197979624912,-49.1536855100276,Eight law throughout spend article. Clear space person hour board. Beyond drug blood by travel claim ground. Us person pressure rule support sometimes include.,"{""address"": ""0485 Stephen Vista Suite 106\nEast Melissa, VT 08118"", ""website"": ""https://miller-li.info/""}",LOUNGE,ACTIVE
"Carrillo, Bradley and Little",-14.98011,-48.926094,Among can area sign. Still adult personal senior.,"{""address"": ""0089 Walker Oval Suite 968\nNew Matthewtown, MO 05799"", ""website"": ""https://www.anderson.org/""}",BREWERY,ACTIVE
"Collier, Beard and Cook",-14.025546,-49.089016,Eye his role song billion natural area.,"{""address"": ""3364 Madison View Suite 248\nMichaelaside, TX 53345"", ""website"": ""https://evans-dawson.com/""}",PUB,ACTIVE
Todd and Sons,-14.0230019412409,-49.0881212309036,Recognize get door although take agent. Or baby put walk social. Help number single food quality join. Image our beautiful.,"{""address"": ""6217 Levine Islands Suite 402\nFernandezfort, MO 69287"", ""website"": ""http://harris-rose.biz/""}",CAFE,ACTIVE
Martinez-Smith,-13.8273397475866,-48.3009565444952,Enough gas traditional simply fly accept lay. Without could international charge able light.,"{""address"": ""39540 Brittney Parkway Suite 447\nNorth Aliciaberg, AS 23976"", ""website"": ""https://www.baker.com/""}",FOOD_TRUCK,ACTIVE
