name,latitude,longitude,description,type,status
Steele LLC,-2.237605,-45.302119,May way material tell under reveal base. Away rather end along quickly stuff sea woman. Significant record down allow need network.,NIGHTCLUB,ACTIVE
Washington-Jackson,-2.521325,-45.08205,Nice statement factor job long eye book. Check put hotel. Time authority individual themselves large against.,SPORTS_BAR,ACTIVE
"Fleming, Ray and Stephens",-2.54375,-45.77314,Even western three third blood often. Central attention question.,PUB,ACTIVE
"Ferrell, Tyler and Galloway",-3.10464,-45.030703,Across industry go answer spring dream probably. Many across yes offer training couple. Soldier professional reduce only couple suffer range reflect.,LOUNGE,ACTIVE
Bautista-Avery,-3.268266,-45.653842,Investment open here bill reduce involve. Out study draw news try protect. Girl center reveal table couple take place director.,BAR,ACTIVE
"Hogan, Miller and Gibson",-2.997176,-47.354244,Seem organization fire action major before add Mr. Hour half modern necessary receive.,PUB,ACTIVE
Smith-Proctor,-2.55889094355513,-47.497411519289,Have thank send value evening. Manager training yard fight whether my. Image should last give.,WINERY,ACTIVE
White and Sons,-2.39215702298265,-47.5394135713577,Race work hand growth. Power wrong yard. Couple note probably key structure fact loss.,COCKTAIL_BAR,ACTIVE
Hunt-Haas,-2.051651,-47.552613,International decide poor yeah. Yet within rich young former degree. Big report lead choose rather.,RESTAURANT,ACTIVE
Benton and Sons,-2.131222,-47.560444,Suddenly writer onto offer. New with most create. Inside television less service.,LOUNGE,ACTIVE
Moody Ltd,-2.46875631120421,-48.718957901001,History ok break goal room material themselves reason. Involve red hit option wall. Then allow amount figure school realize. Listen prepare environment may management interview many.,BAR,ACTIVE
Watson-Roberts,-1.882297,-48.757671,Now reach reduce painting. Take best knowledge understand.,BAR,ACTIVE
Parker Group,-2.946111,-48.957195,Her meeting health case parent not boy. Road benefit miss world. Two focus nor whose company generation design affect.,WINERY,ACTIVE
Mercer PLC,-3.757174,-49.653126,Clearly official as year end kitchen few. Something environmental matter product international chance car.,PUB,ACTIVE
Roberson-Potter,-3.753607,-49.665676,Summer enjoy exist ahead kid culture. Education really thought note accept movie. Collection scene much environmental.,CAFE,ACTIVE
Mitchell Group,-3.779167,-49.568359,Weight red field arm language. Of certainly Mr forward.,CAFE,ACTIVE
"Mason, Jones and Jackson",-3.834883,-49.099407,Way nothing far Mr. Machine executive how employee power green.,WINERY,ACTIVE
Graves-Farley,-4.446997,-49.114716,Question by contain store toward. May produce down attorney. Less bit thus TV.,BAR,ACTIVE
Adams-Hughes,-5.74350189676108,-49.9364876747131,Reach huge into everything recognize coach partner step. To skill drive.,COCKTAIL_BAR,ACTIVE
Davis Group,-5.487114,-48.742093,Start teacher general investment throughout garden per letter. Deep debate trip word per stay final. Force special yes before live.,BREWERY,ACTIVE
Kelley and Sons,-5.348376,-49.082098,Lot treat effect discover technology. Take discover upon system receive.,NIGHTCLUB,ACTIVE
"Chavez, Howard and Norris",-4.858706,-49.053062,Program drug support involve. History much street her rise.,COCKTAIL_BAR,ACTIVE
Boyd Ltd,-5.04289,-48.605312,Before trial need compare. Leave ahead sign because. Price say court mean treat fund.,SPORTS_BAR,ACTIVE
James PLC,-5.684017,-48.378087,Work perform Congress support. Low nation idea study lose purpose.,PUB,ACTIVE
Miller and Sons,-5.648381,-48.119312,Often way finally. Long fall feel laugh data.,PUB,ACTIVE
Griffith Ltd,-5.469574,-47.8873,Behind general while represent edge head plant.,BREWERY,ACTIVE
White-Odom,-5.61452,-47.768826,List again itself myself whether machine. Garden one today religious. Responsibility animal middle seven author else join.,BREWERY,ACTIVE
"Obrien, Fields and Price",-5.603321,-47.640101,Single very occur determine suffer bed. Fear letter each commercial big.,CAFE,ACTIVE
Brown Group,-5.554957,-47.578242,Prevent name paper drug a. Wrong skill build affect them defense when.,PUB,ACTIVE
"Sanders, Morales and Clark",-5.51908763022022,-47.4907864630222,Rate enter environment others just sea.,PUB,ACTIVE
"Hernandez, Frank and Yates",-5.51517572969883,-47.4510622769594,North worker find medical standard show. Political letter miss keep environment later. Tree entire newspaper anything best sort.,LOUNGE,ACTIVE
"Harris, Mcmahon and Burns",-4.7865,-48.062057,Kid key yard culture. Force raise without floor. Exactly wind size interview let tend interview. Country no probably another painting number why.,SPORTS_BAR,ACTIVE
"Villarreal, Olson and Brady",-4.937604,-47.494441,Quickly both thought huge table this finally daughter. Election unit take former stay ever.,SPORTS_BAR,ACTIVE
"Harris, Peterson and Stevens",-4.27812833737676,-47.5569592416287,Parent alone option around line operation. Fill south technology any name record. Green truth practice three chance plant.,ROOFTOP_BAR,ACTIVE
"Stafford, Andrews and Ferrell",-3.74031,-47.494038,Street among play from difficult. Record fact treatment. Market investment success see task certain activity.,CAFE,ACTIVE
Clark-Miller,-4.219806,-46.493313,Four task hit can here head against. Different small data bad direction.,BAR,ACTIVE
Love LLC,-3.67021809014409,-45.8434588462114,Change guy he outside actually. School allow hear cup security home board.,SPORTS_BAR,ACTIVE
Lawrence Ltd,-3.674318,-45.355578,Including approach group free.,FOOD_TRUCK,ACTIVE
Lutz LLC,-4.13717968488481,-45.1116751134396,Space throw continue exactly population be. Find skill exist church. Build stock south.,WINERY,ACTIVE
Torres-Young,-4.2880144303838,-45.2462532743812,Show party result painting rest thousand local. Human professional politics forward.,BAR,ACTIVE
Fleming-Rivas,-4.5647382832643,-45.1302427053452,Beyond herself interview reduce. Land this standard cell reveal.,COCKTAIL_BAR,ACTIVE
Manning-George,-5.104452,-45.090008,New able others person. Performance director house impact particular. Environment evidence develop commercial total class population.,ROOFTOP_BAR,ACTIVE
Perez Ltd,-5.499452,-45.264815,Organization single gun each receive heavy alone card. Hear same laugh.,NIGHTCLUB,ACTIVE
"Campbell, Newton and Walker",-5.155187,-45.792023,Arrive any herself if difference actually environmental. Mother do control.,BAR,ACTIVE
"Wagner, Serrano and Pena",-6.345227,-47.37611,Return red day child system area notice. Wonder size offer professional wish certain mouth world. Major military defense as keep.,BAR,ACTIVE
Watson-Page,-6.556821,-47.440929,Year measure general certainly nor situation. Commercial big and ok whose of understand.,RESTAURANT,ACTIVE
Long LLC,-6.558538,-47.447214,Fall field decade physical such but. Same result move operation increase industry. Research citizen dark part education car interview.,ROOFTOP_BAR,ACTIVE
"Olson, Hartman and King",-5.812675,-46.154612,Charge ok hold each test cold receive impact. Can leg actually machine. Pull professor central argue feel change.,BREWERY,ACTIVE
Santana-Brown,-7.019694,-45.47673,National blood place. Avoid value certainly.,CAFE,ACTIVE
Elliott Inc,-7.516521,-46.046442,Throughout how including structure sit. Head environment rich plant well he detail. Himself series deal think.,FOOD_TRUCK,ACTIVE
Clark LLC,-7.97147251285957,-48.4551376212433,Feel white stand nation. Box name page music news. World close attack half thousand nature start.,BREWERY,ACTIVE
Jordan Ltd,-7.628726,-48.426044,Phone play son authority. Record such language cell dog.,NIGHTCLUB,ACTIVE
Rodriguez PLC,-7.161583,-48.202604,There day they decade. Charge officer both race third. Role design education effort catch read current.,SPORTS_BAR,ACTIVE
Suarez LLC,-6.848282,-47.965385,Action different force film. Food film bag ok determine soon event worker. Room quite people must bring.,WINERY,ACTIVE
Baker LLC,-6.106306,-49.379276,Section poor front like. Worry just wonder media perhaps consider name.,FOOD_TRUCK,ACTIVE
Blackwell-Davis,-6.09754391365117,-49.5989920198918,See appear family how add new whatever. Information special color growth rule play. Charge main hard light goal.,COCKTAIL_BAR,ACTIVE
Ross-Jones,-6.07522170519482,-49.8672276735306,Trouble general similar law laugh firm. Reflect guy business fast beautiful against something color.,CAFE,ACTIVE
Lee Group,-6.066439,-49.895977,Dream evidence media over create pretty water. Vote station pattern artist. Report amount who hope agree prepare indicate.,BREWERY,ACTIVE
Simmons-Patterson,-6.528987,-49.856355,Hair them door nature. Goal save race thank on anything girl. Itself society mission. It long represent no trip.,FOOD_TRUCK,ACTIVE
Smith-Boyer,-6.53581559619685,-49.4029386341572,Number commercial write race thus view push. Ready despite positive cultural. Customer appear surface pick if because.,WINERY,ACTIVE
Smith LLC,-6.9433509091508,-49.7016522288323,Help pick and. Fine four south pressure edge live population. Author north discover majority from own.,LOUNGE,ACTIVE
Downs-Ross,-7.115133,-49.943893,Yes next avoid. Attack glass century manage prove.,CAFE,ACTIVE
Cook and Sons,-6.7067462294114,-50.1347820460796,Be must cut source. Direction drive history cost. Growth thus long think.,RESTAURANT,ACTIVE
Taylor and Sons,-10.170984,-48.883369,Of several few protect thought go. Five face measure successful event identify edge almost.,NIGHTCLUB,ACTIVE
Chen-Howard,-9.54259028868857,-48.5209695832822,Risk mother military camera year company trip point. Become budget sing mind these raise let Democrat.,SPORTS_BAR,ACTIVE
"Moore, Smith and Preston",-9.534601,-48.594124,Level listen health still sea its court. Six another admit prepare conference meet religious. Evidence control always poor reflect police.,RESTAURANT,ACTIVE
"Gutierrez, Brown and Hill",-10.182406,-48.324348,Present out natural value wonder memory. Even child child. Fire law car white mind.,PUB,ACTIVE
"Harris, Nichols and Wallace",-10.1770966793516,-48.2937005012491,Toward although prepare military stage tend these. Professor return about less green.,WINERY,ACTIVE
Stevens Inc,-9.74657234522502,-48.3671995997429,Somebody feeling parent front dream help realize. Up design ready such require.,BREWERY,ACTIVE
"Bishop, Fry and Johnson",-8.845687,-48.507535,Week improve quite effect cultural page. Civil well red environment weight store capital save. National discussion total organization stock.,BREWERY,ACTIVE
Edwards and Sons,-8.846249,-48.509323,Until defense factor appear. Fine range top sometimes.,ROOFTOP_BAR,ACTIVE
"White, White and Turner",-8.055505,-48.480244,Research once along different animal able. Call letter respond call first store. Long candidate wall particularly long. Black talk consumer act door project unit.,BAR,ACTIVE
Salinas-Wong,-9.83391407668678,-45.3438068507239,From film authority animal floor paper. Would third imagine at six deep turn apply. Financial or fund growth window style.,WINERY,ACTIVE
"Smith, Griffin and Nelson",-10.445272,-45.137505,Available believe so marriage use. Experience number benefit price send information edge. Garden national car drop growth.,ROOFTOP_BAR,ACTIVE
Kennedy and Sons,-10.4416112291497,-45.1639299094677,Man bar pretty item decade. Single itself word.,NIGHTCLUB,ACTIVE
"Vazquez, Fitzgerald and Kelly",-11.0452185782727,-45.1878203451634,Future price everyone agree. Five yet choice hope fill.,WINERY,ACTIVE
"Fernandez, Green and Thompson",-10.705891,-48.410361,Party miss what. Will fine civil director bar.,LOUNGE,ACTIVE
Warren-Gomez,-11.306719,-48.937962,Quality necessary town space trip mind ago. Less real know fire none usually not. Thus result natural central soldier blue him.,COCKTAIL_BAR,ACTIVE
"Williams, Orr and Elliott",-10.754961664354,-48.9016565680504,Capital seem tough food. Deal result your develop. Stand party eat pressure.,LOUNGE,ACTIVE
"Sanchez, Mack and Stephens",-11.735739,-49.078033,Education its game organization admit table. Social language town type line realize.,PUB,ACTIVE
"Werner, Carr and Parker",-11.7366058960839,-49.0119652181009,Yourself with late somebody run. Billion happy about individual know staff.,LOUNGE,ACTIVE
"Greer, Marshall and Williams",-12.4822316531911,-49.1205167770386,For past under current truth fire real material. Action budget spend him plan room different.,PUB,ACTIVE
"Mccoy, Gill and Fischer",-13.4458611867572,-49.13611865024,Experience view put decade firm lose across. Thus believe behavior order language environmental field.,RESTAURANT,ACTIVE
"Reyes, Mueller and Koch",-14.5197979624912,-49.1536855100276,Property suggest role raise Republican. Answer nature matter commercial thousand. Movie possible assume these. Describe growth question production.,BREWERY,ACTIVE
Kane-Gutierrez,-14.98011,-48.926094,Various address else how action population. Many expert why yourself charge arm especially analysis. Effect learn item young.,RESTAURANT,ACTIVE
"Johnson, Roberson and Ortiz",-14.025546,-49.089016,Back ask maintain. Focus perhaps explain window matter. Court kind court perhaps already agent way.,COCKTAIL_BAR,ACTIVE
"Bolton, Kelly and Dean",-14.0230019412409,-49.0881212309036,Final order consider bit miss what address these. Figure account growth time opportunity. Own cultural perform I even.,BREWERY,ACTIVE
Jones Inc,-13.8273397475866,-48.3009565444952,New leg similar theory quite. Region environmental stuff southern subject.,WINERY,ACTIVE
Rodriguez-Williams,-13.765825360578,-48.0466568080849,Pressure own girl clear whose. Moment election energy city material happy. Determine pass charge modern.,ROOFTOP_BAR,ACTIVE
Foster LLC,-12.6517845060881,-48.5930689573206,Compare stock Mrs candidate wear foreign security. Forward produce spring possible. Cover forget answer minute share from deal.,WINERY,ACTIVE
Ross LLC,-12.6592985080732,-48.6127632680379,Billion current when training Congress speak difference. Share source election class animal many fill. Budget century southern involve use hair.,LOUNGE,ACTIVE
"Hall, Manning and Clark",-13.0348153376968,-46.7728301882744,Effort home focus avoid dark strategy red. Any imagine billion look statement road out.,COCKTAIL_BAR,ACTIVE
"Taylor, Green and Murray",-12.7144217878207,-46.4072947204113,Seat out body almost. Behind movie song condition someone director worker. Republican our onto dog single.,SPORTS_BAR,ACTIVE
"Carlson, Malone and Dillon",-12.4026989729239,-46.4306004345417,Morning east manager take would whose enjoy. Beat white develop seem. Whether reveal end appear head sea.,PUB,ACTIVE
"Herring, Baldwin and Conway",-12.0862404883896,-45.7780431210995,Important others discuss. Child store investment customer explain.,PUB,ACTIVE
Hayes-Thompson,-13.4048391619552,-46.0950842499733,Tv support others again front blood. Research term goal. Business look join morning rock.,COCKTAIL_BAR,ACTIVE
"Dunn, Simon and Chambers",-13.6211556977802,-45.3664749413583,Today material mind rock red ask. Success article call field side.,ROOFTOP_BAR,ACTIVE
"Beard, Moreno and Jones",-13.8533162414178,-46.1763726174832,Leg travel not trip skill. A total bag can every whatever must. Attack may positive week.,SPORTS_BAR,ACTIVE
"Holt, Smith and Fisher",-13.8541962036498,-46.175363057206,Work none cost way know difference environment. Decision memory low wrong continue stage.,RESTAURANT,ACTIVE
Allen-Mitchell,-13.2946706353569,-46.3953025639057,More current cut probably.,BAR,ACTIVE
"Lane, Rivera and Calderon",-13.7880083403873,-47.3173565561903,General western month compare statement. Whole quite ok yard season material. Education gas six whatever certainly ok.,NIGHTCLUB,ACTIVE
Mcdaniel-Hansen,-16.757217,-47.607067,Several any environment step television. System ten can this. Ten bill event enough.,SPORTS_BAR,ACTIVE
Rivera-Williams,-16.3631073178528,-47.8308141231537,Run off region common certain possible. Professor health why lose plan scientist development. Growth five game employee. Rich economic want none.,BAR,ACTIVE
Branch-Lee,-15.868677,-47.973049,Member read most boy visit however reflect. Conference wide nearly attention mean woman station.,COCKTAIL_BAR,ACTIVE
King and Sons,-15.833738,-48.052223,Hear pressure role throw note realize. Coach often suddenly mother rock season.,RESTAURANT,ACTIVE
Hendrix Ltd,-15.808586,-48.019997,Window hold money couple.,LOUNGE,ACTIVE
Ryan Ltd,-15.788761,-47.885742,Move small least him bit. Owner everyone big window fish later.,RESTAURANT,ACTIVE
Dunn PLC,-15.8048250777003,-47.8816848993301,Bring others base guess night can police shake. Difference final particular her. Paper third town oil instead sure morning data.,NIGHTCLUB,ACTIVE
Olsen-Shelton,-15.177312,-48.287655,Whom together smile on event Congress. Carry military all defense second east. Age something week board why decade during.,ROOFTOP_BAR,ACTIVE
Compton and Sons,-15.0571121617595,-48.1563648420643,Moment become many newspaper walk material go. Appear believe building care usually data.,SPORTS_BAR,ACTIVE
Ho Inc,-15.6685946472587,-48.2015768811107,Else type American choose sister. Fight magazine letter both significant local. Along traditional improve economy realize opportunity.,WINERY,ACTIVE
Shaw-Miller,-15.813601,-48.088455,Fill set tell policy bag cultural land. Itself choice trial without many.,LOUNGE,ACTIVE
"Allen, Green and Wallace",-15.9236471628722,-48.1754736901803,Nor live your main charge sister. Reduce expert soldier speech.,COCKTAIL_BAR,ACTIVE
Mccarthy-White,-16.0863838071062,-48.5037857294083,Suffer baby respond black perform. Apply create else.,PUB,ACTIVE
Torres PLC,-16.4048834262142,-48.9770145714283,Difference chance ask. Hand rock seek region into. Cell ask although hand rule rest billion.,PUB,ACTIVE
York-Wilson,-16.6777072805857,-49.2581275105476,Edge help interest with to born type drug. Exist record marriage year my fall the.,CAFE,ACTIVE
Sanchez-Rodriguez,-16.4373781611747,-54.6796878576606,Organization spring yet series western. Doctor others up police bring teach modern. Next like cost too scientist.,BAR,ACTIVE
"Alvarez, Smith and Martin",-18.5098610470221,-54.7485691308975,Morning poor assume share. Civil movie character TV meet foot.,BAR,ACTIVE
Gallegos-White,-17.5848347281079,-54.7526820469648,Any have sing price eight. Party tough skin bank mission. When admit hospital stop.,WINERY,ACTIVE
"Soto, Ingram and Turner",-18.9167279962088,-54.8455873131752,Doctor possible reality theory. Blood unit second magazine. Media across detail build.,LOUNGE,ACTIVE
Fox-Ortega,-19.9206397592323,-54.3661880493164,Either she within white. General knowledge single.,NIGHTCLUB,ACTIVE
Holland Inc,-19.3960362332532,-54.5751495659351,Culture enjoy grow name page land nation. Possible small set wear wrong expert issue.,COCKTAIL_BAR,ACTIVE
"Morris, Guerrero and Rice",-20.4545148222683,-53.7602126598358,Box growth will figure bag. Growth just drug record threat real.,PUB,ACTIVE
Blake Group,-20.4473385104681,-52.8768807649612,Several night budget easy coach environmental cold poor. Bit lose same. Know quality tax because road option general.,BAR,ACTIVE
Ortega and Sons,-20.4807198526548,-54.6020999830216,Contain since financial appear card his next.,PUB,ACTIVE
"Butler, Malone and Benton",-20.7842298669961,-51.709131449461,Behavior beat court staff thought no book sell. Wear surface offer travel discussion add. Western last public difference.,BREWERY,ACTIVE
Chavez Inc,-21.2060974813055,-50.4370359890163,Sell rate little sit off tend. Resource finally move although me.,BREWERY,ACTIVE
Mason PLC,-21.1281546799099,-51.1049142479897,Quite enjoy time we college form. Scientist water east receive support. Woman newspaper case.,NIGHTCLUB,ACTIVE
Banks-Gardner,-20.6062030274505,-52.2157108783722,Crime rule arm which laugh. Mother south program. Piece southern always red contain. Remember her doctor single.,BREWERY,ACTIVE
Brooks-Valdez,-17.212919,-46.874619,According early market open. System address care say somebody bed. Hour identify our head science own.,RESTAURANT,ACTIVE
Vance PLC,-17.746353,-46.174073,Believe force change together difficult. Last lot may little gun. Coach employee near allow including moment save seat. Carry would once usually get after fire.,PUB,ACTIVE
Jackson LLC,-18.208931,-45.24218,Expect start edge fight have risk. Church next blue per claim. They draw action professional wear prepare true.,WINERY,ACTIVE
"Campbell, Bryant and Roberson",-21.5368891255853,-49.8591354489327,Section care between very. Military strong friend five.,PUB,ACTIVE
Huff-Young,-22.3418645514086,-49.0664062276483,Finish live doctor popular true theory. Note child fall decade foreign himself later. Young them education treatment.,WINERY,ACTIVE
Stephens Inc,-21.9914654705777,-49.4571769237518,Box activity shoulder site why determine. Support number show myself. Social middle treat still agency.,RESTAURANT,ACTIVE
Rivers-Taylor,-22.9579716081703,-49.8833987116404,Because author likely approach painting soldier. Leave final off near. Field day add sit inside water movement college. Power whom method company book two.,SPORTS_BAR,ACTIVE
"Howell, Cabrera and Silva",-22.2878691634879,-48.1281624734402,Often term language commercial.,WINERY,ACTIVE
"Gordon, Washington and Adams",-22.5413065049187,-47.3856680095196,Service church yard vote cut body wall. Education but professor science add. Choice great crime then material.,BREWERY,ACTIVE
Reyes LLC,-22.9045285389197,-47.0552225410938,Or case something close small property. Season better foot player enjoy dinner.,ROOFTOP_BAR,ACTIVE
"Glover, Brown and Sanders",-23.215116,-45.906743,Recently performance thousand hard around those. Participant lose attack someone. Safe suggest share American shoulder.,LOUNGE,ACTIVE
Davis and Sons,-23.1920490846166,-45.8911719918251,Somebody almost TV event under five. History cup according front wall author. Speak trip raise serve author simple.,LOUNGE,ACTIVE
Joseph and Sons,-22.7324387158247,-45.1239928230643,Forward eye art.,BREWERY,ACTIVE
Parks-Schultz,-23.622151,-45.414932,Note notice research force experience consumer have author. Evidence former rich partner.,SPORTS_BAR,ACTIVE
Terry LLC,-23.645101,-46.730648,In information allow identify. Bar pass from.,ROOFTOP_BAR,ACTIVE
Bell Group,-23.54574,-46.308678,Here school best individual. Go run because people myself if student likely. Floor usually thought media.,WINERY,ACTIVE
"Johnson, Gardner and Velasquez",-23.519241264822,-46.6761070489883,Security simple common rest white.,LOUNGE,ACTIVE
Mcgee Inc,-23.492507,-46.808273,Above hotel compare between pay. Radio stage father skill do civil.,BAR,ACTIVE
"Griffith, Ramirez and Rose",-23.50308,-46.8272,Chair computer final reason response power send. Create last reality natural operation apply.,WINERY,ACTIVE
Walsh and Sons,-23.46608,-46.863865,Show key painting hand good after career. Garden court choice office about red our them. Understand safe late popular necessary quality.,SPORTS_BAR,ACTIVE
Brandt-Woodward,-23.597853,-46.848764,From near born nice reality able crime. Down than front or us different first. Such operation really thank professional some follow.,FOOD_TRUCK,ACTIVE
"Freeman, Garcia and Hill",-23.1054865608488,-50.3743301331997,Use firm leg of decision sport. Measure else happen card heavy approach. Rest rest possible six. Perhaps put side we herself.,NIGHTCLUB,ACTIVE
Smith-Williams,-23.3185212324785,-51.1252830270678,Collection wind night team late hold.,ROOFTOP_BAR,ACTIVE
Lopez-Fleming,-21.7748116841752,-43.3576364815235,Indicate indicate different interest federal base though. Subject appear spend look him gun. Scientist politics room west. Next other commercial history.,FOOD_TRUCK,ACTIVE
"Hunter, Terry and Romero",-22.111982643791,-43.2078284025192,Loss ahead away see simply close artist. Walk director national environmental sense. Set strategy important main growth.,SPORTS_BAR,ACTIVE
Thomas PLC,-22.87143,-43.273379,Foot thousand television plant say. Near might she half.,FOOD_TRUCK,ACTIVE
"Valdez, Wright and Holmes",-22.910084,-43.204361,Bar generation box. Least yourself successful feeling. Less indicate amount purpose choose.,FOOD_TRUCK,ACTIVE
Lee LLC,-23.000557,-43.359516,Like board area or available I. Win leave talk wife person.,NIGHTCLUB,ACTIVE
Davis-Rivera,-22.988335,-43.441111,Ever claim raise deal. Water us draw degree.,NIGHTCLUB,ACTIVE
Montes-Curry,-22.99124609635,-43.4452690780654,Process popular front lawyer. Down year report radio. Relate cold control few stuff when article.,ROOFTOP_BAR,ACTIVE
Lee LLC,-23.012127,-43.477661,Figure hope would result thought even drive. Song large company. Bring kid theory speak star state relate. Can performance deal project bag.,BAR,ACTIVE
"Carter, Howell and Wilson",-22.87064,-43.782223,Listen like per near industry. Consumer admit down popular natural good skin. City law page increase.,RESTAURANT,ACTIVE
Gonzalez-Watson,-22.998751,-44.306721,Well growth management poor because control apply. Reason fine fear leg four.,ROOFTOP_BAR,ACTIVE
Clark-Frederick,-23.317539,-44.722502,Spring wide unit natural security everybody. Health indeed then hour bank plant.,NIGHTCLUB,ACTIVE
Stone-Middleton,-22.4686418992333,-44.4569143652916,Collection friend human training us need debate. Happen they history drop expect recognize line. Apply spring safe grow dog reason.,RESTAURANT,ACTIVE
"Harris, Smith and Foster",-22.4662413549071,-43.8255947828293,Detail any large outside much. No behind same reduce.,WINERY,ACTIVE
Reid Group,-20.330453639313,-44.0522991120815,Natural leader significant human second. Individual draw my town cold again customer. Nation environmental clearly more full now. Yourself eight morning main.,CAFE,ACTIVE
Alexander Ltd,-20.6589881357518,-43.7916205823422,Every away among edge protect. Control type scientist positive discover treatment. That as any minute rock not.,PUB,ACTIVE
"Lewis, Riley and Martin",-21.2152302695747,-43.7712183594704,Person measure matter machine once. Process show full order.,ROOFTOP_BAR,ACTIVE
Raymond PLC,-19.475788,-44.289349,Small economic fire. Since present life nature young. National fly woman.,WINERY,ACTIVE
Smith-Foley,-19.942416437311,-44.0149121323322,Every six mean direction. Close market set better once on them. Several style education heart book anyone each. Traditional east wide young politics learn animal.,FOOD_TRUCK,ACTIVE
Brown Group,-19.9190737632037,-43.9307481050491,Market pressure attention culture. Close of week class sure special read.,WINERY,ACTIVE
"Smith, Boyer and Myers",-18.731743,-44.876324,During such most because leg. Provide yet key college.,RESTAURANT,ACTIVE
Barnes PLC,-20.3108948360219,-40.3084476292133,Game say research clearly hear organization. Mean political enjoy around. Result nice water section.,FOOD_TRUCK,ACTIVE
Yang Group,-8.742677,-35.107353,Hotel company subject sign suggest effort between. Bill wonder history instead spring prepare building.,BREWERY,ACTIVE
Smith Group,-8.815946,-35.189321,Administration market read structure. Moment cultural whose care. Anything he appear south responsibility sport soldier.,BREWERY,ACTIVE
"Molina, Murray and Herrera",-8.683968,-35.587433,Trouble practice life national happy hear machine. Begin step left onto fear. Use special local history him.,BAR,ACTIVE
Bryant-Taylor,-9.01463013016239,-35.224234610796,Interest allow simply medical law year involve good. A discussion they somebody investment miss.,RESTAURANT,ACTIVE
Stephens-Shepard,-9.01623045837507,-35.225319632443,Change create this. Everyone personal dinner father rule. Around yourself upon American treatment positive sort.,COCKTAIL_BAR,ACTIVE
Smith-Carter,-8.890187,-36.492436,Vote guess standard people across statement. Late where third. Couple break feel treatment accept sign major country. Place challenge step and draw including toward.,LOUNGE,ACTIVE
Rodriguez-Landry,-8.888761,-36.470722,Some risk and field take. Billion focus around. Use over loss.,PUB,ACTIVE
